country_name	country_iso2	week	category	weekly_rank	show_title	season_title	cumulative_weeks_in_top_10
Argentina	AR	2021-11-28	Films	9	A Castle For Christmas	N/A	1
Argentina	AR	2021-11-28	Films	10	Jack Reacher: Never Go Back	N/A	1
Argentina	AR	2021-11-28	TV	1	The Queen of Flow	The Queen of Flow: Season 2	2
Argentina	AR	2021-11-28	TV	2	The Queen of Flow	The Queen of Flow: Season 1	4
Argentina	AR	2021-11-28	TV	3	Hellbound	Hellbound: Season 1	2
Argentina	AR	2021-11-28	TV	4	Maid	Maid: Limited Series	9
Argentina	AR	2021-11-28	TV	5	Pasión de Gavilanes	Pasión de Gavilanes: Season 1	22
Argentina	AR	2021-11-28	TV	6	True Story	True Story: Limited Series	1
Argentina	AR	2021-11-28	TV	7	Arcane	Arcane: Season 1	3
Argentina	AR	2021-11-28	TV	8	Yo soy Betty, la fea	Yo soy Betty, la fea: Season 1	17
Argentina	AR	2021-11-28	TV	9	Squid Game	Squid Game: Season 1	11
Argentina	AR	2021-11-28	TV	10	You	You: Season 3	7
Argentina	AR	2021-11-21	Films	1	Red Notice	N/A	2
Argentina	AR	2021-11-21	Films	2	White Boy Rick	N/A	1
Argentina	AR	2021-11-21	Films	3	Goosebumps 2: Haunted Halloween	N/A	1
Argentina	AR	2021-11-21	Films	4	The Croods	N/A	1
Argentina	AR	2021-11-21	Films	5	7 Prisoners	N/A	2
Argentina	AR	2021-11-21	Films	6	Trolls	N/A	1
Argentina	AR	2021-11-21	Films	7	Love Hard	N/A	3
Argentina	AR	2021-11-21	Films	8	Five Feet Apart	N/A	1
Argentina	AR	2021-11-21	Films	9	The Princess Switch 3: Romancing the Star	N/A	1
Argentina	AR	2021-11-21	Films	10	In a Valley of Violence	N/A	1
Argentina	AR	2021-11-21	TV	1	The Queen of Flow	The Queen of Flow: Season 2	1
Argentina	AR	2021-11-21	TV	2	The Queen of Flow	The Queen of Flow: Season 1	3
Argentina	AR	2021-11-21	TV	3	Arcane	Arcane: Season 1	2
Argentina	AR	2021-11-21	TV	4	Maid	Maid: Limited Series	8
Argentina	AR	2021-11-21	TV	5	Pasión de Gavilanes	Pasión de Gavilanes: Season 1	21
Argentina	AR	2021-11-21	TV	6	Hellbound	Hellbound: Season 1	1
Argentina	AR	2021-11-21	TV	7	Squid Game	Squid Game: Season 1	10
Argentina	AR	2021-11-21	TV	8	You	You: Season 3	6
Argentina	AR	2021-11-21	TV	9	Yo soy Betty, la fea	Yo soy Betty, la fea: Season 1	16
Argentina	AR	2021-11-21	TV	10	Narcos: Mexico	Narcos: Mexico: Season 3	2
Argentina	AR	2021-11-14	Films	1	Red Notice	N/A	1
Argentina	AR	2021-11-14	Films	2	Love Hard	N/A	2
Argentina	AR	2021-11-14	Films	3	Yara	N/A	2
Argentina	AR	2021-11-14	Films	4	211	N/A	1
Argentina	AR	2021-11-14	Films	5	The Harder They Fall	N/A	2
Argentina	AR	2021-11-14	Films	6	Army of Thieves	N/A	3
Argentina	AR	2021-11-14	Films	7	7 Prisoners	N/A	1
Argentina	AR	2021-11-14	Films	8	Father Christmas Is Back	N/A	1
Argentina	AR	2021-11-14	Films	9	Just Go With It	N/A	2
Argentina	AR	2021-11-14	Films	10	Amina	N/A	1
Argentina	AR	2021-11-14	TV	1	Maid	Maid: Limited Series	7
Argentina	AR	2021-11-14	TV	2	Squid Game	Squid Game: Season 1	9
Argentina	AR	2021-11-14	TV	3	Narcos: Mexico	Narcos: Mexico: Season 3	1
Argentina	AR	2021-11-14	TV	4	You	You: Season 3	5
Argentina	AR	2021-11-14	TV	5	Pasión de Gavilanes	Pasión de Gavilanes: Season 1	20
Argentina	AR	2021-11-14	TV	6	Arcane	Arcane: Season 1	1
Argentina	AR	2021-11-14	TV	7	The Queen of Flow	The Queen of Flow: Season 1	2
Argentina	AR	2021-11-14	TV	8	Luis Miguel - The Series	Luis Miguel - The Series: Season 3	3
Argentina	AR	2021-11-14	TV	9	Yo soy Betty, la fea	Yo soy Betty, la fea: Season 1	15
Argentina	AR	2021-11-14	TV	10	Where is Marta?	Where is Marta?: Limited Series	1
Argentina	AR	2021-11-07	Films	1	Army of Thieves	N/A	2
Argentina	AR	2021-11-07	Films	2	The Harder They Fall	N/A	1
Argentina	AR	2021-11-07	Films	3	Love Hard	N/A	1
Argentina	AR	2021-11-07	Films	4	Yara	N/A	1
Argentina	AR	2021-11-07	Films	5	The Girl in the Spider's Web	N/A	1
Argentina	AR	2021-11-07	Films	6	Der Fall Collini	N/A	1
Argentina	AR	2021-11-07	Films	7	Army of the Dead	N/A	1
Argentina	AR	2021-11-07	Films	8	Only Mine	N/A	2
Argentina	AR	2021-11-07	Films	9	Hypnotic	N/A	2
Argentina	AR	2021-11-07	Films	10	Just Go With It	N/A	1
Argentina	AR	2021-11-07	TV	1	Luis Miguel - The Series	Luis Miguel - The Series: Season 3	2
Argentina	AR	2021-11-07	TV	2	Maid	Maid: Limited Series	6
Argentina	AR	2021-11-07	TV	3	You	You: Season 3	4
Argentina	AR	2021-11-07	TV	4	Squid Game	Squid Game: Season 1	8
Argentina	AR	2021-11-07	TV	5	Pasión de Gavilanes	Pasión de Gavilanes: Season 1	19
Argentina	AR	2021-11-07	TV	6	The Five Juanas	The Five Juanas: Season 1	5
Argentina	AR	2021-11-07	TV	7	Maya and the Three	Maya and the Three: Limited Series	2
Argentina	AR	2021-11-07	TV	8	The Queen of Flow	The Queen of Flow: Season 1	1
Argentina	AR	2021-11-07	TV	9	Yo soy Betty, la fea	Yo soy Betty, la fea: Season 1	14
Argentina	AR	2021-11-07	TV	10	Locke & Key	Locke & Key: Season 2	2
Argentina	AR	2021-10-31	Films	1	Army of Thieves	N/A	1
Argentina	AR	2021-10-31	Films	2	Final Score	N/A	1
Argentina	AR	2021-10-31	Films	3	Hypnotic	N/A	1
Argentina	AR	2021-10-31	Films	4	Only Mine	N/A	1
Argentina	AR	2021-10-31	Films	5	A Dog's Journey	N/A	2
Argentina	AR	2021-10-31	Films	6	Night Teeth	N/A	2
Argentina	AR	2021-10-31	Films	7	Stuck Together	N/A	1
Argentina	AR	2021-10-31	Films	8	The Forgotten Battle	N/A	3
Argentina	AR	2021-10-31	Films	9	Venom	N/A	4
Argentina	AR	2021-10-31	Films	10	In for a Murder	N/A	2
Argentina	AR	2021-10-31	TV	1	Maid	Maid: Limited Series	5
Argentina	AR	2021-10-31	TV	2	You	You: Season 3	3
Argentina	AR	2021-10-31	TV	3	Squid Game	Squid Game: Season 1	7
Argentina	AR	2021-10-31	TV	4	Luis Miguel - The Series	Luis Miguel - The Series: Season 3	1
Argentina	AR	2021-10-31	TV	5	The Five Juanas	The Five Juanas: Season 1	4
Argentina	AR	2021-10-31	TV	6	Maya and the Three	Maya and the Three: Limited Series	1
Argentina	AR	2021-10-31	TV	7	Locke & Key	Locke & Key: Season 2	1
Argentina	AR	2021-10-31	TV	8	My Name	My Name: Season 1	3
Argentina	AR	2021-10-31	TV	9	You	You: Season 1	2
Argentina	AR	2021-10-31	TV	10	Pasión de Gavilanes	Pasión de Gavilanes: Season 1	18
Argentina	AR	2021-10-24	Films	1	The Forgotten Battle	N/A	2
Argentina	AR	2021-10-24	Films	2	Night Teeth	N/A	1
Argentina	AR	2021-10-24	Films	3	The Trip	N/A	1
Argentina	AR	2021-10-24	Films	4	Venom	N/A	3
Argentina	AR	2021-10-24	Films	5	A Dog's Journey	N/A	1
Argentina	AR	2021-10-24	Films	6	In for a Murder	N/A	1
Argentina	AR	2021-10-24	Films	7	Street Kings	N/A	1
Argentina	AR	2021-10-24	Films	8	What Happens in Vegas	N/A	1
Argentina	AR	2021-10-24	Films	9	Gran Torino	N/A	1
Argentina	AR	2021-10-24	Films	10	The Four of Us	N/A	1
Argentina	AR	2021-10-24	TV	1	You	You: Season 3	2
